State,TotalEmp,CaculatedTotalEmp,Diff,NumOfJobsWithNoData,AverageEmployedPerMissingJob,entropy,NormalizedEntropy
STATE,0,0,0,0,0,0.0,0
Alabama,1857530,1846750,10780,16,673.75,5.4200431886698786,0.37548555446865217
Alaska,324970,315360,9610,19,505.7894736842105,5.473495810011388,0.4312729717427074
Arizona,2526990,2479010,47980,34,1411.1764705882354,5.483694064402132,0.37196400869565494
Arkansas,1158790,1149080,9710,21,462.3809523809524,5.406280866394155,0.3871893326372123
California,15119730,15051940,67790,16,4236.875,5.566446381255407,0.3367173368005677
Colorado,2367780,2342670,25110,35,717.4285714285714,5.4968702559341756,0.37451091643961737
Connecticut,1646510,1612890,33620,34,988.8235294117648,5.490591681254978,0.3835774113457047
Delaware,424330,400590,23740,43,552.0930232558139,5.3946313293075185,0.41630809430791565
District of Columbia,674650,659410,15240,26,586.1538461538462,5.125947310234538,0.38190781303249144
Florida,7665280,7625610,39670,14,2833.5714285714284,5.363469164268372,0.33834201181775775
Georgia,3983250,3958370,24880,21,1184.7619047619048,5.432556238469823,0.35746125405777707
Hawaii,612580,601270,11310,23,491.7391304347826,5.378891210237232,0.40365596176258756
Idaho,628140,615950,12190,26,468.84615384615387,5.4786522456761375,0.4103700022594209
Illinois,5765880,5721150,44730,30,1491.0,5.485595349416955,0.35237555829492406
Indiana,2905170,2895490,9680,21,460.95238095238096,5.480710928221534,0.36827778658243776
Iowa,1512740,1506880,5860,21,279.04761904761904,5.467296217215827,0.38422445685189777
Kansas,1359500,1340390,19110,33,579.0909090909091,5.483582596381682,0.38828345360410227
Kentucky,1808010,1791460,16550,26,636.5384615384615,5.44726951466992,0.3780794570309485
Louisiana,1915800,1904230,11570,22,525.9090909090909,5.421651482048965,0.37479498247390336
Maine,586390,578450,7940,20,397.0,5.44638441654798,0.41006556838787794
Maryland,2557510,2522870,34640,30,1154.6666666666667,5.52971089352669,0.37478017864204516
Massachusetts,3322500,3270140,52360,14,3740.0,5.559311277087259,0.3702202211721352
Michigan,4073730,4022190,51540,21,2454.285714285714,5.451408934169953,0.3581724050919415
Minnesota,2730020,2704690,25330,32,791.5625,5.536034903061948,0.3735561627875382
Mississippi,1094070,1074080,19990,30,666.3333333333334,5.400615075723728,0.3883821504397207
Missouri,2673640,2639360,34280,32,1071.25,5.461864522993617,0.3690710494394194
Montana,443330,434320,9010,33,273.030303030303,5.433699722899865,0.4179103674508607
Nebraska,942950,927500,15450,26,594.2307692307693,5.451365224922419,0.39626785970032236
Nevada,1189610,1178520,11090,33,336.06060606060606,5.299045129469156,0.37879716796372775
New Hampshire,627000,620610,6390,17,375.88235294117646,5.415033560814675,0.40565993862097005
New Jersey,3869260,3787210,82050,39,2103.846153846154,5.492711504578768,0.36211126802837623
New Mexico,788000,773470,14530,19,764.7368421052631,5.431816812386215,0.4000674263656528
New York,8810950,8769150,41800,16,2612.5,5.449362099894065,0.34076603916054493
North Carolina,4030880,4021730,9150,13,703.8461538461538,5.452097883154923,0.358466720000894
North Dakota,440420,425620,14800,36,411.1111111111111,5.380179508809423,0.4140037777000183
Ohio,5200880,5176440,24440,21,1163.8095238095239,5.499512892493401,0.35562548815488565
Oklahoma,1577330,1556510,20820,32,650.625,5.524818122959896,0.3871293969480861
Oregon,1683470,1643110,40360,20,2018.0,5.603787196951464,0.390879148416732
Pennsylvania,5653840,5632960,20880,13,1606.1538461538462,5.483535020139223,0.3526877736011802
Rhode Island,463930,451260,12670,40,316.75,5.429302850239633,0.41611860089072045
South Carolina,1876480,1862550,13930,27,515.925925925926,5.375866181473781,0.37216340127556735
South Dakota,409250,401690,7560,16,472.5,5.360508441860451,0.4148332018984559
Tennessee,2749480,2720180,29300,30,976.6666666666666,5.430611221738463,0.3662669223976278
Texas,11228940,11005490,223450,21,10640.47619047619,5.510887114298926,0.3394656547970468
Utah,1280660,1262640,18020,22,819.0909090909091,5.483232641266475,0.3899080595089478
Vermont,301050,283670,17380,37,469.72972972972974,5.534432261082805,0.4387172714070001
Virginia,3648490,3609700,38790,25,1551.6,5.518693363532692,0.3652387602238548
Washington,2898350,2795790,102560,32,3205.0,5.609535872002176,0.3769937501797256
West Virginia,707720,696810,10910,28,389.64285714285717,5.364957955131849,0.39829518151298743
Wisconsin,2727860,2723770,4090,14,292.14285714285717,5.46890627677923,0.3690462212011807
Wyoming,282690,276480,6210,12,517.5,5.386292739266253,0.42911465744258476
Guam,59900,51890,8010,6,1335.0,4.74104503615321,0.43098717661286534
Puerto Rico,902930,878650,24280,34,714.1176470588235,5.215817716185359,0.3803445971293057
