State,TotalEmp,CaculatedTotalEmp,Diff,NumOfJobsWithNoData,AverageEmployedPerMissingJob,entropy,NormalizedEntropy
STATE,0,0,0,0,0,0.0,0
Alabama,1844080,1832630,11450,19,602.6315789473684,5.433032930764522,0.37657503344627413
Alaska,322660,314480,8180,18,454.44444444444446,5.449049075171481,0.4295882073590992
Arizona,2475660,2430480,45180,37,1221.081081081081,5.517211177588841,0.3747591758871331
Arkansas,1152600,1144540,8060,21,383.8095238095238,5.412938641134933,0.3878149159563522
California,14714530,14674450,40080,18,2226.6666666666665,5.565289587168919,0.33720146121061073
Colorado,2295000,2279030,15970,31,515.1612903225806,5.484413974726084,0.37445874852612987
Connecticut,1635590,1611120,24470,34,719.7058823529412,5.4959639500700685,0.38413129570307564
Delaware,412140,389340,22800,39,584.6153846153846,5.396800269738275,0.4174144061960354
District of Columbia,665850,654330,11520,22,523.6363636363636,5.145521546469445,0.38374157174176465
Florida,7453230,7431390,21840,14,1560.0,5.373695481980623,0.33958808195871587
Georgia,3879660,3858220,21440,19,1128.421052631579,5.435837849641682,0.3582984233327349
Hawaii,602200,588300,13900,35,397.14285714285717,5.382895225159562,0.40447518212200045
Idaho,613000,602690,10310,23,448.2608695652174,5.477788136935109,0.4110564852028593
Illinois,5704700,5656780,47920,25,1916.8,5.504896433927416,0.3538578689826824
Indiana,2854250,2840140,14110,24,587.9166666666666,5.49789529291951,0.369871976326393
Iowa,1491600,1485680,5920,20,296.0,5.4668596229088084,0.38457412621786735
Kansas,1336460,1318070,18390,33,557.2727272727273,5.503492059895173,0.39016542830090056
Kentucky,1782820,1759730,23090,32,721.5625,5.452964936592844,0.3788436821707945
Louisiana,1885310,1876500,8810,17,518.2352941176471,5.411986710256335,0.37454224708343725
Maine,582430,576610,5820,20,291.0,5.464681239497604,0.41165317826545633
Maryland,2534480,2514670,19810,27,733.7037037037037,5.52729412235902,0.37484618901034306
Massachusetts,3257870,3220710,37160,13,2858.4615384615386,5.55385076783825,0.3703410527705308
Michigan,3998790,3979590,19200,20,960.0,5.4541845709926395,0.3587924691288785
Minnesota,2688580,2610270,78310,34,2303.235294117647,5.568476459439934,0.37613344141021143
Mississippi,1083560,1071570,11990,27,444.0740740740741,5.399642102045895,0.38858192286651727
Missouri,2639120,2620390,18730,29,645.8620689655172,5.46977637374146,0.36993051662304316
Montana,439110,429710,9400,38,247.3684210526316,5.4350833715157885,0.41832450903347995
Nebraska,927150,915780,11370,24,473.75,5.460988862221877,0.3974556241330975
Nevada,1151970,1136930,15040,27,557.0370370370371,5.302238596908249,0.37989859178658797
New Hampshire,620190,614590,5600,13,430.7692307692308,5.403626945041253,0.4051368724329554
New Jersey,3821070,3786890,34180,21,1627.6190476190477,5.483587140211933,0.361808675731505
New Mexico,783980,771780,12200,32,381.25,5.43272641343941,0.40028520913162
New York,8635400,8617320,18080,18,1004.4444444444445,5.454437265364323,0.34151319819121906
North Carolina,3947030,3938510,8520,11,774.5454545454545,5.460380089120738,0.35950814447729146
North Dakota,422930,404530,18400,34,541.1764705882352,5.391142477283688,0.4161449870755327
Ohio,5125850,5090840,35010,30,1167.0,5.506434021129619,0.3564079505077587
Oklahoma,1558860,1542910,15950,25,638.0,5.520226021711801,0.387127138990426
Oregon,1640300,1618370,21930,20,1096.5,5.592928900832806,0.3908299504215014
Pennsylvania,5616820,5604780,12040,15,802.6666666666666,5.489683421701801,0.35323247216472514
Rhode Island,456100,442220,13880,35,396.57142857142856,5.430710415783463,0.41677019439295615
South Carolina,1826120,1814770,11350,19,597.3684210526316,5.373241834424901,0.3726835988435389
South Dakota,402990,396000,6990,13,537.6923076923077,5.362044647218287,0.41544766252320436
Tennessee,2700050,2685220,14830,26,570.3846153846154,5.456768715136906,0.368481968276739
Texas,10913950,10889800,24150,20,1207.5,5.46513123445211,0.3372381957710854
Utah,1242690,1225810,16880,24,703.3333333333334,5.479524382920506,0.39048006816526276
Vermont,298290,284930,13360,36,371.1111111111111,5.470632061835425,0.4339766420610867
Virginia,3631440,3612100,19340,21,920.952380952381,5.5152059586421815,0.3651211457629072
Washington,2827200,2804960,22240,30,741.3333333333334,5.59356920127959,0.37654968007873313
West Virginia,709430,698180,11250,35,321.42857142857144,5.3738842977917125,0.398886408527969
Wisconsin,2704840,2699740,5100,15,340.0,5.488451642992773,0.37057708276364115
Wyoming,278910,272290,6620,12,551.6666666666666,5.3850254753176445,0.4294742949438522
Guam,59500,51560,7940,6,1323.3333333333333,4.727762208350639,0.430041625901754
Puerto Rico,927460,896130,31330,39,803.3333333333334,5.209302938730912,0.3791284743758231
