State,TotalEmp,CaculatedTotalEmp,Diff,NumOfJobsWithNoData,AverageEmployedPerMissingJob,entropy,NormalizedEntropy
STATE,0,0,0,0,0,0.0,0
Alabama,1872600,1854410,18190,26,699.6153846153846,5.465898394592658,0.37845042949062785
Alaska,300150,288380,11770,34,346.1764705882353,5.440020845619548,0.43133560220664485
Arizona,2437100,2353060,84040,42,2000.952380952381,5.502936415221824,0.374188556520144
Arkansas,1142370,1124870,17500,31,564.516129032258,5.41665797804096,0.3883294320812026
California,14723900,14690030,33870,13,2605.3846153846152,5.537293065347781,0.3354922089675671
Colorado,2151520,2108000,43520,53,821.1320754716982,5.539417431116594,0.37988870167259897
Connecticut,1648070,1604980,43090,31,1390.0,5.492997199172752,0.38372007636823735
Delaware,417550,389470,28080,40,702.0,5.3346347129263,0.41219046028293715
District of Columbia,611190,583780,27410,46,595.8695652173913,5.181597708556515,0.38891647937518736
Florida,7614840,7461420,153420,26,5900.7692307692305,5.445959518109743,0.3436888626336898
Georgia,3904020,3815360,88660,41,2162.439024390244,5.477213924511303,0.36087680207519374
Hawaii,583630,554040,29590,53,558.3018867924528,5.37233257345276,0.40463383817441073
Idaho,597490,563120,34370,60,572.8333333333334,5.467745225882986,0.41109343069554516
Illinois,5767100,5542380,224720,38,5913.684210526316,5.588962019710436,0.35901059445782024
Indiana,2891360,2842890,48470,39,1242.820512820513,5.491838036045022,0.36914366811401716
Iowa,1446550,1418580,27970,30,932.3333333333334,5.442429102482997,0.3836832773231187
Kansas,1315640,1271940,43700,32,1365.625,5.496872903045496,0.39013042894322597
Kentucky,1754590,1642790,111800,33,3387.878787878788,5.437481217448358,0.37818732537597943
Louisiana,1877160,1847940,29220,29,1007.5862068965517,5.436717111399682,0.3763665824704692
Maine,597260,561100,36160,41,881.9512195121952,5.474539042017463,0.4116161403246054
Maryland,2497220,2449620,47600,43,1106.9767441860465,5.509750176457155,0.37403208359591505
Massachusetts,3144540,3072330,72210,26,2777.3076923076924,5.525390721367644,0.36931521416886176
Michigan,4334870,4232190,102680,34,3020.0,5.514472265902918,0.3608427765325058
Minnesota,2635370,2584440,50930,44,1157.5,5.517610411394432,0.37320150613646846
Mississippi,1108540,1092940,15600,28,557.1428571428571,5.405924789328896,0.38839700136987954
Missouri,2663880,2599900,63980,21,3046.6666666666665,5.45703991131599,0.3688361862716803
Montana,414650,402770,11880,40,297.0,5.389128363968003,0.4166253711661362
Nebraska,895470,878880,16590,23,721.304347826087,5.460392092863621,0.39842033254388204
Nevada,1191640,1169860,21780,31,702.5806451612904,5.334747569223121,0.3813028497328163
New Hampshire,621560,609230,12330,50,246.6,5.4489811777538835,0.4084697294866504
New Jersey,3917310,3885630,31680,29,1092.4137931034484,5.490326363992529,0.36165976109652936
New Mexico,763430,716840,46590,49,950.8163265306123,5.544864474918357,0.40934871884822965
New York,8333460,8241140,92320,27,3419.259259259259,5.459415199379148,0.342588314807723
North Carolina,3809690,3767720,41970,24,1748.75,5.478951137002093,0.3615739476466649
North Dakota,328520,317450,11070,39,283.84615384615387,5.4055533625218475,0.4255552780996587
Ohio,5340280,5254820,85460,21,4069.5238095238096,5.489457544855373,0.354369146142535
Oklahoma,1455940,1428780,27160,31,876.1290322580645,5.478334977788927,0.38603849795467404
Oregon,1598780,1540550,58230,17,3425.294117647059,5.5277502106668015,0.3869685973026975
Pennsylvania,5569310,5493680,75630,26,2908.846153846154,5.521281364061605,0.35545992091735557
Rhode Island,479810,447020,32790,63,520.4761904761905,5.454157530976635,0.4169480068079452
South Carolina,1802740,1694920,107820,47,2294.0425531914893,5.4816237635448575,0.3805409866386213
South Dakota,373500,362510,10990,22,499.54545454545456,5.339077737471471,0.4161182830767371
Tennessee,2686580,2636910,49670,32,1552.1875,5.414723476134023,0.36576628634218705
Texas,9424510,9340610,83900,19,4415.789473684211,5.47569060569553,0.3409770543106091
Utah,1099230,1025560,73670,59,1248.6440677966102,5.582479738990221,0.4013250454543706
Vermont,297650,278490,19160,38,504.2105263157895,5.4715169723233,0.434120809160077
Virginia,3535500,3477930,57570,34,1693.235294117647,5.52557297598625,0.36645703096483107
Washington,2653320,2577140,76180,30,2539.3333333333335,5.576103119997786,0.3769847636342546
West Virginia,697390,679950,17440,39,447.1794871794872,5.421647648673426,0.4029436881774299
Wisconsin,2727430,2693850,33580,26,1291.5384615384614,5.513967125530626,0.372090922051339
Wyoming,251590,240920,10670,42,254.04761904761904,5.423414867856292,0.43612162116651854
Guam,55670,46770,8900,4,2225.0,4.657012513223185,0.42618547547927255
Puerto Rico,1026290,1017730,8560,30,285.3333333333333,5.177204192572741,0.3740359651375751
