State,TotalEmp,CaculatedTotalEmp,Diff,NumOfJobsWithNoData,AverageEmployedPerMissingJob,entropy,NormalizedEntropy
STATE,0,0,0,0,0,0.0,0
Alabama,1931970,1921360,10610,20,530.5,5.458354001936651,0.3771130895075873
Alaska,301920,286230,15690,22,713.1818181818181,5.410006674302592,0.4287559126987593
Arizona,2648000,2613840,34160,25,1366.4,5.476990687781039,0.3703342998090892
Arkansas,1172760,1148740,24020,34,706.4705882352941,5.441355671500865,0.389367162313647
California,15202530,15110500,92030,8,11503.75,5.551517772069843,0.3357033942669772
Colorado,2258240,2234550,23690,31,764.1935483870968,5.534663816789971,0.37830672476294824
Connecticut,1682220,1661220,21000,25,840.0,5.492795103920882,0.3831570049657499
Delaware,425960,399640,26320,45,584.8888888888889,5.452544481215444,0.42065283994170616
District of Columbia,620970,597910,23060,40,576.5,5.186146734312283,0.38879465780448025
Florida,7963010,7923190,39820,23,1731.304347826087,5.417669208084626,0.34094153026011337
Georgia,4058370,4026210,32160,28,1148.5714285714287,5.43184487566365,0.35697559466228784
Hawaii,610310,584670,25640,40,641.0,5.381876787827188,0.4039925668094021
Idaho,641960,613410,28550,68,419.8529411764706,5.445833419270835,0.40724789638360676
Illinois,5894670,5807280,87390,44,1986.1363636363637,5.538620380234499,0.3552775508845391
Indiana,2928780,2917860,10920,18,606.6666666666666,5.457919100803668,0.36654692576332737
Iowa,1488360,1479820,8540,21,406.6666666666667,5.459464120559492,0.3841126367302598
Kansas,1347670,1337580,10090,26,388.0769230769231,5.501176817216496,0.3897704814678914
Kentucky,1801800,1778480,23320,29,804.1379310344828,5.4598428020071585,0.3790426500457719
Louisiana,1847230,1830940,16290,22,740.4545454545455,5.416424759515963,0.3753794800631014
Maine,600020,580920,19100,48,397.9166666666667,5.463066353039955,0.41061120148631397
Maryland,2551910,2532450,19460,41,474.6341463414634,5.498028035281887,0.37268821884547915
Massachusetts,3207840,3182290,25550,31,824.1935483870968,5.53241297182638,0.36929263407394786
Michigan,4210550,4178090,32460,23,1411.304347826087,5.495319003311504,0.3602754600972944
Minnesota,2687740,2674200,13540,23,588.695652173913,5.510400270144034,0.37221843009263317
Mississippi,1128980,1106000,22980,35,656.5714285714286,5.421172270519638,0.3889818678686688
Missouri,2732920,2715810,17110,33,518.4848484848485,5.465875175909135,0.36879555978298273
Montana,435480,422080,13400,47,285.1063829787234,5.408477642311224,0.4165428685371724
Nebraska,914670,906060,8610,27,318.8888888888889,5.456361494889053,0.3975109164055287
Nevada,1285470,1264480,20990,38,552.3684210526316,5.343256107903063,0.37985318592435885
New Hampshire,632590,624310,8280,42,197.14285714285714,5.404075844677828,0.40457004502566213
New Jersey,3980080,3951890,28190,27,1044.0740740740741,5.493755456467997,0.36150709002824183
New Mexico,798640,778430,20210,42,481.1904761904762,5.465013674082908,0.4021152348979415
New York,8515960,8408950,107010,21,5095.714285714285,5.487903524158312,0.3439084958601999
North Carolina,4013460,3982470,30990,18,1721.6666666666667,5.465879731730223,0.35947521740780825
North Dakota,341970,330580,11390,26,438.0769230769231,5.381715669843072,0.42234450364668613
Ohio,5341360,5326170,15190,18,843.8888888888889,5.481092456804925,0.3538245233170876
Oklahoma,1528890,1511350,17540,32,548.125,5.505705279441762,0.3866351801739385
Oregon,1682150,1665220,16930,14,1209.2857142857142,5.5753172702192035,0.3889145739978344
Pennsylvania,5663070,5631200,31870,18,1770.5555555555557,5.486967787730891,0.3528715397623727
Rhode Island,485870,453680,32190,48,670.625,5.49064181982839,0.4193347441070951
South Carolina,1877950,1868460,9490,31,306.1290322580645,5.4270724095948815,0.375687967540336
South Dakota,389400,381800,7600,21,361.9047619047619,5.360915690319848,0.4164671204420213
Tennessee,2739230,2709330,29900,35,854.2857142857143,5.414182322043778,0.3652508849644981
Texas,10061750,10033230,28520,13,2193.846153846154,5.464057994790313,0.3388720362798457
Utah,1206180,1151770,54410,51,1066.862745098039,5.583208102262145,0.3987160253362652
Vermont,301140,284070,17070,26,656.5384615384615,5.484754082429027,0.4347689551117589
Virginia,3645330,3612880,32450,29,1118.9655172413793,5.50994987135255,0.36468101045463813
Washington,2811700,2790950,20750,16,1296.875,5.5808365023891175,0.3758316258881596
West Virginia,713230,701790,11440,28,408.57142857142856,5.390289625616439,0.39994553423356566
Wisconsin,2768830,2737700,31130,32,972.8125,5.52595983480163,0.37252149773204457
Wyoming,273170,257370,15800,24,658.3333333333334,5.432832537560497,0.4340068554164954
Guam,57920,47250,10670,4,2667.5,4.533757778187035,0.41340685757713974
Puerto Rico,1014970,944950,70020,30,2334.0,5.213354545183714,0.3769497627990744
