State,TotalEmp,CaculatedTotalEmp,Diff,NumOfJobsWithNoData,AverageEmployedPerMissingJob,entropy,NormalizedEntropy
STATE,0,0,0,0,0,0.0,0
Alabama,1863620,1855540,8080,20,404.0,5.440878887727633,0.37684354192502006
Alaska,308140,298510,9630,19,506.8421052631579,5.410214547659178,0.42808055506859816
Arizona,2479120,2446930,32190,29,1110.0,5.468474108573922,0.3714134526256797
Arkansas,1147660,1128910,18750,18,1041.6666666666667,5.446685631006305,0.3903528736760356
California,14532640,14494990,37650,9,4183.333333333333,5.5512510307127965,0.33660454130742323
Colorado,2234250,2205490,28760,38,756.8421052631579,5.5037230896769245,0.37646668168735337
Connecticut,1648950,1610350,38600,32,1206.25,5.48917768260351,0.3834389607739875
Delaware,412570,392640,19930,31,642.9032258064516,5.381552323064831,0.41620148839770627
District of Columbia,637180,597990,39190,38,1031.3157894736842,5.154274194366388,0.3856601904847818
Florida,7355940,7328760,27180,29,937.2413793103449,5.4040704086813856,0.3417914119552851
Georgia,3889160,3836450,52710,23,2291.7391304347825,5.425170878745206,0.35753768273778364
Hawaii,587810,573290,14520,27,537.7777777777778,5.3412456147915615,0.4020763073170571
Idaho,614520,600410,14110,52,271.34615384615387,5.4685360243909305,0.41028595321930134
Illinois,5704240,5671490,32750,35,935.7142857142857,5.488080714864698,0.3527787736368724
Indiana,2787780,2773440,14340,19,754.7368421052631,5.4543123886022755,0.36752253981091226
Iowa,1471130,1462750,8380,23,364.3478260869565,5.4508442471162,0.3838206082525991
Kansas,1348710,1337200,11510,18,639.4444444444445,5.491133978940683,0.38903766114674365
Kentucky,1748610,1732620,15990,35,456.85714285714283,5.477131565244097,0.3810355613443966
Louisiana,1871950,1858510,13440,31,433.5483870967742,5.41338830027476,0.3748237208848994
Maine,589090,578410,10680,29,368.2758620689655,5.459605021781745,0.4109188372126658
Maryland,2503410,2485430,17980,36,499.44444444444446,5.494070142597581,0.3729049651649438
Massachusetts,3169010,3153470,15540,15,1036.0,5.5254044079444125,0.3691248795936925
Michigan,3893900,3874980,18920,22,860.0,5.487506585934124,0.36161679539605773
Minnesota,2627640,2610990,16650,19,876.3157894736842,5.512318415612586,0.3729176584453264
Mississippi,1096890,1087460,9430,20,471.5,5.394698500418108,0.38788485680407314
Missouri,2668450,2635720,32730,20,1636.5,5.4712961732867464,0.3697569162973828
Montana,432240,423020,9220,42,219.52380952380952,5.4188452917893875,0.41758152278517907
Nebraska,916770,904200,12570,26,483.46153846153845,5.4491952832197175,0.3969225237161737
Nevada,1179860,1163960,15900,40,397.5,5.341681875197564,0.3820697845515437
New Hampshire,619390,612490,6900,24,287.5,5.4074576943373796,0.4054633214173036
New Jersey,3850770,3802620,48150,26,1851.923076923077,5.4860585825496075,0.3617869191525173
New Mexico,800390,788560,11830,24,492.9166666666667,5.450953629487503,0.40101611287439526
New York,8487020,8430740,56280,21,2680.0,5.470681391243426,0.3429023920034107
North Carolina,3896750,3874630,22120,13,1701.5384615384614,5.463515999167954,0.36001850096556137
North Dakota,353630,340920,12710,29,438.2758620689655,5.40581133988927,0.423122151823147
Ohio,5091490,5077190,14300,10,1430.0,5.4776614196820645,0.3547000363810425
Oklahoma,1525330,1502660,22670,35,647.7142857142857,5.471752874752065,0.38431380589858805
Oregon,1624490,1610560,13930,21,663.3333333333334,5.564811995007872,0.3891285218458617
Pennsylvania,5572660,5552700,19960,16,1247.5,5.474119641333269,0.35241000762729646
Rhode Island,458760,445170,13590,42,323.57142857142856,5.448258085727203,0.41793034905139326
South Carolina,1802900,1795310,7590,24,316.25,5.434074805170761,0.37723775592670733
South Dakota,392890,387540,5350,17,314.70588235294116,5.352214953346504,0.41550318719651175
Tennessee,2625140,2603060,22080,34,649.4117647058823,5.402297073861712,0.36549806534883256
Texas,10289240,10253030,36210,17,2130.0,5.478459068026886,0.33929470790009103
Utah,1185770,1172140,13630,32,425.9375,5.473592150966911,0.3913649469734502
Vermont,294120,280550,13570,26,521.9230769230769,5.441595675821983,0.4321558676377295
Virginia,3589520,3570690,18830,24,784.5833333333334,5.4983331448843495,0.36428413314338637
Washington,2789670,2750990,38680,23,1681.7391304347825,5.6085945936636366,0.37790112760241257
West Virginia,704310,688790,15520,33,470.3030303030303,5.3730903256685085,0.3990420162639489
Wisconsin,2689710,2684610,5100,22,231.8181818181818,5.510773652770953,0.3722252293185824
Wyoming,282450,274770,7680,25,307.2,5.435653080135013,0.43307639680203563
Guam,60910,50860,10050,1,10050.0,4.383584017008219,0.39788719996204935
Puerto Rico,962030,903050,58980,19,3104.2105263157896,5.186166609654029,0.376442008704014
