State,TotalEmp,CaculatedTotalEmp,Diff,NumOfJobsWithNoData,AverageEmployedPerMissingJob,entropy,NormalizedEntropy
STATE,0,0,0,0,0,0.0,0
Alabama,1945300,1921160,24140,13,1856.923076923077,5.455692741490422,0.376750247419063
Alaska,307790,294180,13610,31,439.03225806451616,5.442338190239378,0.43066104938208744
Arizona,2637830,2538820,99010,32,3094.0625,5.509752530281705,0.372646495906557
Arkansas,1176050,1154330,21720,20,1086.0,5.43524400619425,0.3888518800501564
California,15212610,15171830,40780,14,2912.8571428571427,5.550480188889293,0.33562719856496387
Colorado,2302340,2270960,31380,50,627.6,5.529409155495815,0.37744858887450244
Connecticut,1697810,1674820,22990,32,718.4375,5.4906823171021415,0.38276332031209465
Delaware,425210,407460,17750,30,591.6666666666666,5.410270528598682,0.41744824428599026
District of Columbia,635500,608050,27450,44,623.8636363636364,5.165940876926403,0.386609502338283
Florida,7771740,7683410,88330,32,2760.3125,5.413121238446321,0.34117733876967554
Georgia,4068270,3997640,70630,30,2354.3333333333335,5.431011128557321,0.3568636606030999
Hawaii,612420,596780,15640,39,401.02564102564105,5.3520928065315045,0.4016527639294869
Idaho,650240,628420,21820,58,376.2068965517241,5.4616109042108345,0.4080367130686626
Illinois,5910630,5678100,232530,45,5167.333333333333,5.561301325863952,0.356670570015361
Indiana,2927620,2901900,25720,24,1071.6666666666667,5.458001995051369,0.36656224514543484
Iowa,1502600,1488400,14200,22,645.4545454545455,5.463402073591524,0.38413235131267826
Kansas,1374560,1354630,19930,32,622.8125,5.504672795881729,0.3894729981338891
Kentucky,1817860,1779740,38120,36,1058.888888888889,5.473535919705057,0.3797593252196019
Louisiana,1887370,1864690,22680,30,756.0,5.42142182075768,0.3751668597559952
Maine,604150,592040,12110,36,336.3888888888889,5.460003039026952,0.4101694874173243
Maryland,2561530,2542340,19190,34,564.4117647058823,5.492767688384094,0.3722367017930778
Massachusetts,3234860,3220200,14660,27,542.9629629629629,5.522856590689053,0.3684484464276972
Michigan,4142750,4106760,35990,33,1090.6060606060605,5.496118466350842,0.3607117689227336
Minnesota,2704860,2693500,11360,23,493.9130434782609,5.5119553225079,0.37216385181832146
Mississippi,1138210,1114220,23990,35,685.4285714285714,5.418042118341058,0.3885302818348907
Missouri,2740170,2705980,34190,39,876.6666666666666,5.486117564739649,0.37009520486706493
Montana,444090,426450,17640,40,441.0,5.420452990599051,0.4168366381683066
Nebraska,928120,901710,26410,29,910.6896551724138,5.473592544167771,0.39834261552770284
Nevada,1278230,1251680,26550,44,603.4090909090909,5.346472659632759,0.380234524818303
New Hampshire,634570,628190,6380,19,335.7894736842105,5.402075780226661,0.40432571755213553
New Jersey,3986310,3949470,36840,26,1416.923076923077,5.491390889553482,0.3613143069506874
New Mexico,819480,800500,18980,31,612.258064516129,5.467347576988861,0.40152591211547456
New York,8633580,8575010,58570,30,1952.3333333333333,5.475156772346288,0.3428150121635665
North Carolina,4063420,4049920,13500,18,750.0,5.4649074620973686,0.3591190864766983
North Dakota,350360,336960,13400,27,496.2962962962963,5.389425445308573,0.42214656018429997
Ohio,5323130,5270020,53110,14,3793.5714285714284,5.493642749294055,0.35471297484019887
Oklahoma,1557750,1535210,22540,39,577.9487179487179,5.492432173403052,0.3851972301989216
Oregon,1706740,1677470,29270,26,1125.7692307692307,5.573272775591525,0.38837878864075187
Pennsylvania,5705170,5644670,60500,18,3361.1111111111113,5.493130083900709,0.3530996513960577
Rhode Island,478420,457990,20430,42,486.42857142857144,5.469580595437518,0.4182197912431372
South Carolina,1892690,1880030,12660,22,575.4545454545455,5.443120002336253,0.37659503691852847
South Dakota,395960,388060,7900,13,607.6923076923077,5.356635910165845,0.41559527133723456
Tennessee,2755800,2725790,30010,34,882.6470588235294,5.401401909629378,0.3642405004737574
Texas,10391420,10339580,51840,19,2728.4210526315787,5.471496759096061,0.3386562559345202
Utah,1230320,1187150,43170,43,1003.953488372093,5.530310677988289,0.3943803413326365
Vermont,301130,287260,13870,30,462.3333333333333,5.465055789855393,0.4332086387465841
Virginia,3670980,3608870,62110,24,2587.9166666666665,5.525707280357858,0.36555428249413663
Washington,2868910,2835580,33330,22,1515.0,5.599308003534138,0.3765647514314363
West Virginia,717740,702220,15520,33,470.3030303030303,5.375298172312795,0.39864676062614024
Wisconsin,2776690,2750660,26030,33,788.7878787878788,5.521921290020376,0.3721781251635955
Wyoming,283980,272820,11160,23,485.2173913043478,5.434569451784926,0.43280377462758435
Guam,58810,48400,10410,4,2602.5,4.572593975862375,0.41636914961567
Puerto Rico,999010,928200,70810,30,2360.3333333333335,5.202400122689547,0.37658927687937416
