State,TotalEmp,CaculatedTotalEmp,Diff,NumOfJobsWithNoData,AverageEmployedPerMissingJob,entropy,NormalizedEntropy
STATE,0,0,0,0,0,0.0,0
Alabama,1809420,1803490,5930,9,658.8888888888889,5.416622032317183,0.3759319620602484
Alaska,313170,302870,10300,24,429.1666666666667,5.439385154499975,0.42983796514403005
Arizona,2380200,2354280,25920,33,785.4545454545455,5.4872031137329005,0.37371906761197293
Arkansas,1139670,1132210,7460,18,414.44444444444446,5.4196669957792665,0.38861107939045414
California,14038950,13996720,42230,10,4223.0,5.549418207436943,0.3372000656105784
Colorado,2179060,2146060,33000,39,846.1538461538462,5.465777545281254,0.3745118669755976
Connecticut,1608820,1581160,27660,32,864.375,5.487348876871411,0.38397204131148205
Delaware,403430,383570,19860,25,794.4,5.343802780858593,0.41399929168490546
District of Columbia,644730,626330,18400,36,511.1111111111111,5.131736018903918,0.38363568045642804
Florida,7151700,7126680,25020,19,1316.842105263158,5.381443148279001,0.34096753865341467
Georgia,3779250,3737850,41400,24,1725.0,5.41757821821369,0.3577131259276608
Hawaii,577220,557410,19810,24,825.4166666666666,5.373747608796379,0.4050773567418013
Idaho,592730,579400,13330,32,416.5625,5.485506242365467,0.4126769689805152
Illinois,5574180,5535560,38620,27,1430.3703703703704,5.467276749151203,0.3519633000005164
Indiana,2758100,2747810,10290,18,571.6666666666666,5.468724227903832,0.3687595976435072
Iowa,1449110,1439610,9500,24,395.8333333333333,5.443201670452886,0.3836899141492325
Kansas,1308070,1297480,10590,17,622.9411764705883,5.478191616236647,0.3889638586027304
Kentucky,1732870,1712230,20640,26,793.8461538461538,5.441937414196626,0.3788254594314275
Louisiana,1839780,1827590,12190,24,507.9166666666667,5.4004002694273066,0.37437377182049336
Maine,575640,569360,6280,28,224.28571428571428,5.450092334006036,0.41091718621682655
Maryland,2480670,2458840,21830,29,752.7586206896551,5.500387969917094,0.3735651528199223
Massachusetts,3157020,3147600,9420,19,495.7894736842105,5.51547517352252,0.36855488851062257
Michigan,3829000,3773270,55730,15,3715.3333333333335,5.46364586798263,0.3604436399485446
Minnesota,2595450,2569620,25830,35,738.0,5.522668049066675,0.37392964400659967
Mississippi,1073100,1058820,14280,22,649.0909090909091,5.366664822939444,0.3864785235919158
Missouri,2591020,2575740,15280,28,545.7142857142857,5.44595815855388,0.3687784139800122
Montana,425110,417810,7300,36,202.77777777777777,5.429719313335176,0.4189564861981239
Nebraska,904630,891650,12980,24,540.8333333333334,5.440186703441778,0.39665148564742425
Nevada,1112780,1095270,17510,26,673.4615384615385,5.306876763044428,0.38117619492875887
New Hampshire,606690,599630,7060,22,320.90909090909093,5.4021758012627,0.4056974917995412
New Jersey,3771250,3757020,14230,30,474.3333333333333,5.446515616247121,0.3596741361829961
New Mexico,777640,764350,13290,30,443.0,5.431433057290279,0.4004294795553476
New York,8427560,8392710,34850,16,2178.125,5.438972421234382,0.34106517430970695
North Carolina,3814860,3801720,13140,13,1010.7692307692307,5.446742937116056,0.35941625644526587
North Dakota,371630,362010,9620,26,370.0,5.371649962145071,0.41882074442492007
Ohio,4977910,4965370,12540,18,696.6666666666666,5.468234612633616,0.3546076507615578
Oklahoma,1498260,1471270,26990,34,793.8235294117648,5.4687537297616124,0.3845868411473158
Oregon,1586620,1572530,14090,21,670.952380952381,5.561802780437288,0.3895606490683846
Pennsylvania,5549240,5507730,41510,21,1976.6666666666667,5.4672902773263985,0.35206580489189976
Rhode Island,450980,435550,15430,38,406.05263157894734,5.43839169935271,0.417721578574167
South Carolina,1772880,1761250,11630,19,612.1052631578947,5.395176231347913,0.37497447675003864
South Dakota,392670,388130,4540,14,324.2857142857143,5.344030824417532,0.4148858771044571
Tennessee,2602320,2593500,8820,26,339.2307692307692,5.4259813071181435,0.3673174200136161
Texas,10304370,10292800,11570,10,1157.0,5.458356530545427,0.3380189466437343
Utah,1165980,1151780,14200,35,405.7142857142857,5.453240129278882,0.39037954251992407
Vermont,290830,276100,14730,30,491.0,5.428800716330848,0.43152523560352735
Virginia,3553360,3539790,13570,22,616.8181818181819,5.490942637117183,0.36403868562881
Washington,2720660,2687320,33340,18,1852.2222222222222,5.596439464212766,0.3777196288500457
West Virginia,700250,683640,16610,37,448.9189189189189,5.383619588674412,0.39999572867586924
Wisconsin,2645180,2637640,7540,19,396.8421052631579,5.494136335130882,0.3715203933046664
Wyoming,272570,265870,6700,12,558.3333333333334,5.384072608033508,0.4301871887866333
Guam,59560,47700,11860,5,2372.0,4.579843721064707,0.41654863460512226
Puerto Rico,930940,917130,13810,23,600.4347826086956,5.124552474812407,0.37285878039323656
