State,TotalEmp,CaculatedTotalEmp,Diff,NumOfJobsWithNoData,AverageEmployedPerMissingJob,entropy,NormalizedEntropy
STATE,0,0,0,0,0,0.0,0
Alabama,1912220,1892530,19690,29,678.9655172413793,5.464669580313272,0.3778176456927275
Alaska,303890,291060,12830,21,610.952380952381,5.429641798059854,0.43009035953001123
Arizona,2574150,2479250,94900,42,2259.5238095238096,5.496393663366331,0.3723584116773825
Arkansas,1166840,1137750,29090,34,855.5882352941177,5.402512058519943,0.3867276746475147
California,15065750,14874540,191210,13,14708.461538461539,5.534031518378899,0.3348289838535737
Colorado,2207120,2175290,31830,50,636.6,5.531168151834043,0.37866042151878465
Connecticut,1658980,1614380,44600,29,1537.9310344827586,5.496659074852217,0.38379898254600253
Delaware,424270,395240,29030,33,879.6969696969697,5.3752691844477205,0.41481842859567125
District of Columbia,609400,571330,38070,33,1153.6363636363637,5.181187503011691,0.3889713200450171
Florida,7869210,7825200,44010,19,2316.315789473684,5.421688868795739,0.3414491113904562
Georgia,4001580,3945830,55750,33,1689.3939393939395,5.448234021326604,0.35838458106568183
Hawaii,599130,574330,24800,39,635.8974358974359,5.379595901976073,0.404382569660966
Idaho,624320,591740,32580,62,525.483870967742,5.468971952692674,0.4098321721350614
Illinois,5826660,5780610,46050,29,1587.9310344827586,5.531896452184018,0.35511057975117283
Indiana,2913200,2859520,53680,26,2064.6153846153848,5.472360429045336,0.36764848338726674
Iowa,1470240,1452800,17440,15,1162.6666666666667,5.4515076998699,0.3838836833693415
Kansas,1321180,1282580,38600,40,965.0,5.51315719528469,0.3911695173740258
Kentucky,1779830,1725730,54100,32,1690.625,5.457490914467021,0.37920234439522893
Louisiana,1776990,1735590,41400,29,1427.5862068965516,5.421678125678875,0.37675577228816853
Maine,596910,576300,20610,33,624.5454545454545,5.461469427185067,0.41065156930143576
Maryland,2531180,2480110,51070,28,1823.9285714285713,5.510965850244381,0.3737718755407077
Massachusetts,3170490,3141610,28880,14,2062.8571428571427,5.516084578729543,0.36849077396463503
Michigan,4294260,4179320,114940,28,4105.0,5.502893817650216,0.36030704853801726
Minnesota,2682940,2638540,44400,30,1480.0,5.5105269722190435,0.3722719373044455
Mississippi,1113000,1093510,19490,30,649.6666666666666,5.4112531943345115,0.3886677056061783
Missouri,2700450,2544600,155850,29,5374.137931034483,5.549632486599047,0.37474907825456294
Montana,427130,400830,26300,44,597.7272727272727,5.4367659402587085,0.4193468172806179
Nebraska,901120,888860,12260,21,583.8095238095239,5.462992058800035,0.39842718932298704
Nevada,1257860,1226670,31190,40,779.75,5.337315824009602,0.3800174656385815
New Hampshire,627570,620790,6780,28,242.14285714285714,5.422273375661522,0.4061746503132906
New Jersey,3957500,3919640,37860,24,1577.5,5.498351915177177,0.36194505762175444
New Mexico,789360,767080,22280,29,768.2758620689655,5.471666020826437,0.4029512466766047
New York,8387750,8055040,332710,29,11472.758620689656,5.466617110234586,0.3429005215976148
North Carolina,3892670,3865420,27250,8,3406.25,5.461812086194827,0.35993106761495675
North Dakota,335740,325900,9840,18,546.6666666666666,5.373603640795295,0.4223172468010134
Ohio,5354170,5288810,65360,23,2841.7391304347825,5.485074181745427,0.35402681451547763
Oklahoma,1503430,1459130,44300,40,1107.5,5.501248978340705,0.38677835360886004
Oregon,1648680,1608980,39700,19,2089.4736842105262,5.550762338014275,0.3877453075585104
Pennsylvania,5631520,5542460,89060,19,4687.368421052632,5.51008488219662,0.3544855825259242
Rhode Island,482550,445670,36880,65,567.3846153846154,5.464686873603957,0.4175711591346108
South Carolina,1840190,1816130,24060,29,829.6551724137931,5.442287878365519,0.3772717328999976
South Dakota,381230,371290,9940,18,552.2222222222222,5.347743453630896,0.41612930077299126
Tennessee,2718410,2685270,33140,29,1142.7586206896551,5.411609540812407,0.36526532765604874
Texas,9760960,9725990,34970,18,1942.7777777777778,5.467177857984057,0.33970494482637065
Utah,1151020,1121120,29900,38,786.8421052631579,5.536453201031346,0.3967032172492762
Vermont,299610,283440,16170,22,735.0,5.425676109031504,0.4302596492560879
Virginia,3608430,3574040,34390,27,1273.7037037037037,5.508663239161313,0.364841531783826
Washington,2736910,2661340,75570,28,2698.9285714285716,5.584058121635,0.3767325592428079
West Virginia,710560,694070,16490,28,588.9285714285714,5.415530862969913,0.4019302184998687
Wisconsin,2744210,2726490,17720,22,805.4545454545455,5.512494233806205,0.37183762714955065
Wyoming,262260,248920,13340,17,784.7058823529412,5.375886781973167,0.43086056668665573
Guam,54670,46510,8160,1,8160.0,4.457053624161278,0.40856401728557207
Puerto Rico,1031650,1005130,26520,24,1105.0,5.1771423554024825,0.37389078730444847
