State,TotalEmp,CaculatedTotalEmp,Diff,NumOfJobsWithNoData,AverageEmployedPerMissingJob,entropy,NormalizedEntropy
STATE,0,0,0,0,0,0.0,0
Alabama,1807480,1799810,7670,12,639.1666666666666,5.426506887807231,0.37664604662358475
Alaska,308050,297220,10830,31,349.35483870967744,5.445095231724105,0.430850430508607
Arizona,2367120,2318670,48450,48,1009.375,5.480951196325559,0.37343341734558294
Arkansas,1135560,1125670,9890,14,706.4285714285714,5.430954974994878,0.389521378045089
California,14001730,13919980,81750,11,7431.818181818182,5.554960510524987,0.3375912898118311
Colorado,2157690,2072540,85150,39,2183.3333333333335,5.549887793088452,0.3805320194195067
Connecticut,1598640,1568880,29760,23,1293.9130434782608,5.48252262251134,0.38380480558642066
Delaware,397730,379700,18030,33,546.3636363636364,5.358365845066449,0.41558567755150655
District of Columbia,639390,606650,32740,39,839.4871794871794,5.150558696338268,0.38528236968443375
Florida,7103950,7077390,26560,24,1106.6666666666667,5.394681139400639,0.3419514392480844
Georgia,3744740,3696770,47970,21,2284.285714285714,5.412475347291309,0.3575927872693744
Hawaii,571630,556740,14890,30,496.3333333333333,5.3488740721145,0.40349836482535417
Idaho,594750,576800,17950,38,472.36842105263156,5.499814976224461,0.4136475495231742
Illinois,5528420,5466960,61460,38,1617.3684210526317,5.475642684962474,0.35268902795388385
Indiana,2724850,2703340,21510,19,1132.1052631578948,5.459074322378876,0.36841020003645975
Iowa,1438510,1426200,12310,22,559.5454545454545,5.4413667936993075,0.38375917563863576
Kansas,1304780,1288180,16600,23,721.7391304347826,5.483066744637436,0.38937962729228587
Kentucky,1716060,1698680,17380,28,620.7142857142857,5.449761355902375,0.3796277101075346
Louisiana,1832830,1820550,12280,24,511.6666666666667,5.416998386831893,0.3756229622310119
Maine,577410,559220,18190,30,606.3333333333334,5.470932812780113,0.4123930236220433
Maryland,2462470,2442870,19600,31,632.258064516129,5.5001013858588355,0.37373259995879643
Massachusetts,3119100,3079530,39570,21,1884.2857142857142,5.524436282753879,0.3694520124369415
Michigan,3755890,3737420,18470,21,879.5238095238095,5.4608342279360595,0.3607169196092675
Minnesota,2562450,2533060,29390,29,1013.448275862069,5.507075985624107,0.3731972719269526
Mississippi,1070820,1057840,12980,23,564.3478260869565,5.375713344163513,0.3871894560415684
Missouri,2588450,2573290,15160,30,505.3333333333333,5.440113882644339,0.3684074200521559
Montana,424300,412510,11790,33,357.27272727272725,5.427198936645998,0.41882364825958135
Nebraska,901690,888460,13230,25,529.2,5.447229327135801,0.39725926012631807
Nevada,1113530,1094910,18620,31,600.6451612903226,5.332323141108494,0.3829853936540469
New Hampshire,603420,596630,6790,18,377.22222222222223,5.401018693129766,0.405775286493042
New Jersey,3770550,3751810,18740,24,780.8333333333334,5.453489765465524,0.36013910621199885
New Mexico,777560,761250,16310,25,652.4,5.436185907705037,0.40078292076151034
New York,8344020,8309650,34370,21,1636.6666666666667,5.4525186719198,0.3421283569522144
North Carolina,3772780,3766660,6120,10,612.0,5.454216081851924,0.36017300787619755
North Dakota,355710,336910,18800,33,569.6969696969697,5.374599297538762,0.42048611409344494
Ohio,4921690,4893140,28550,15,1903.3333333333333,5.4713326275906615,0.3550700836962417
Oklahoma,1483760,1461200,22560,36,626.6666666666666,5.457449699089608,0.3840545494574126
Oregon,1569700,1555420,14280,15,952.0,5.552225267946758,0.3891820770605643
Pennsylvania,5483220,5453210,30010,14,2143.5714285714284,5.465824383126649,0.3522428852540159
Rhode Island,448150,419900,28250,48,588.5416666666666,5.4621253124010085,0.4197475068530918
South Carolina,1746820,1736110,10710,21,510.0,5.415436556670121,0.3767703806391231
South Dakota,387590,381140,6450,19,339.4736842105263,5.343443502619432,0.4152600781657831
Tennessee,2569420,2560200,9220,33,279.3939393939394,5.400643642098403,0.36591732794883997
Texas,10089870,10057060,32810,16,2050.625,5.471079161617991,0.3392487592709618
Utah,1148520,1135800,12720,25,508.8,5.459775847165813,0.3912700177538097
Vermont,286990,274300,12690,16,793.125,5.413878982384123,0.4307942771961151
Virginia,3527350,3509010,18340,22,833.6363636363636,5.494992471365507,0.3644847131740045
Washington,2693220,2657860,35360,18,1964.4444444444443,5.60465021100725,0.3785327780298014
West Virginia,688170,673140,15030,32,469.6875,5.370214559494999,0.39951629123048193
Wisconsin,2608740,2599770,8970,23,390.0,5.496698854471766,0.3720426599445284
Wyoming,269910,261820,8090,24,337.0833333333333,5.427525096443645,0.43399910969168537
Guam,59560,48830,10730,2,5365.0,4.439814825862669,0.4038126443281194
Puerto Rico,950570,940560,10010,22,455.0,5.125697263852535,0.3723767074203537
